fips,adult_pop,female_pop,male_pop,median_age,population,pct_poverty,median_income,pct_highschool,pct_unemployed
46007,2299,1782,1678,29.6,3460,33.8,33973,78.9,9.5
46009,5667,2877,4107,42.1,6984,14.6,48889,89,0.4
46011,27210,16667,17468,27,34135,14,58591,95.7,2.5
46013,29803,19807,19321,37.2,39128,10.6,53039,92.2,1.5
46015,3868,2647,2591,40.5,5238,12.7,49724,86.2,1.6
46017,1254,1022,1021,26,2043,39.5,22500,77.5,7.7
46019,7736,5098,5107,41.9,10205,13.9,44052,91,1.2
46021,1144,668,710,53.1,1378,9.6,47592,90.5,0.6
46023,6602,4728,4668,36.3,9396,21.7,41888,88.4,3.2
46025,2746,1805,1851,41.4,3656,11.6,45997,89.6,2.4
46027,11635,7099,6987,25.2,14086,20,42171,94.8,4.2
46029,21197,14013,14050,38.3,28063,11.8,50355,91.9,2.1
46031,2670,2054,2078,29.8,4132,39.1,31267,81.6,18.7
46033,7225,4332,4264,54.2,8596,10.6,51223,93.4,2.6
46035,15271,9968,9935,38.4,19903,10.8,50238,90.6,2.7
46037,4323,2725,2846,47.3,5571,14,43602,88.9,1.2
46039,3253,2034,2197,44.5,4231,9.8,53517,91.5,1.4
46041,3638,2922,2820,27.7,5742,27.5,38540,84.9,16.5
46043,2260,1494,1438,47.8,2932,11,48475,85.7,0.2
46045,3035,1957,1995,45.3,3952,10.1,55477,88.9,1.3
46047,5623,3412,3437,52.1,6849,12.9,44440,93.1,1.6
46049,1799,1167,1187,45.2,2354,13.8,47756,92.2,0.4
46051,5527,3445,3703,44.5,7148,9.9,55118,90.2,2.1
46053,3194,2005,2166,46.2,4171,15.9,38338,88.2,1
46055,1465,937,955,46.8,1892,11.2,47596,90.7,1.7
46057,4157,2964,3064,36.3,6028,9.5,57575,92.8,1.5
46059,2625,1657,1662,48.5,3319,9,52592,91.8,1.2
46061,2298,1672,1702,36.2,3374,8.8,61242,92.2,0.2
46063,972,590,688,41.3,1278,11.4,53080,93,0.9
46065,13426,8924,8676,39.1,17600,8.5,63468,91.2,1.6
46067,5561,3726,3642,43.9,7368,12.7,51786,86.9,3.4
46069,1079,668,684,48.5,1352,9.3,51053,93,1.4
46071,2211,1649,1677,30.1,3326,30.7,33881,87.4,9.5
46073,1522,1003,1001,45.9,2004,12.6,47468,88.7,0.4
46075,740,475,452,48.6,927,13,45485,91.7,1.6
46077,3910,2461,2540,46.1,5001,9.4,49653,90.6,1.4
46079,10343,6198,6711,45.6,12909,8.6,57473,94,2.6
46081,20677,12644,12637,42.1,25281,11.9,50488,94,2.1
46083,38911,27422,27047,34.8,54469,3.7,84610,95.1,1.4
46085,2760,1851,2043,34.9,3894,22.3,42682,88,4.5
46087,4127,2790,2835,40.7,5625,10,58975,89.3,1.6
46089,1873,1252,1186,48.8,2438,15.1,41253,78.8,3.4
46091,3715,2220,2581,42.5,4801,11,54019,89.1,1.3
46093,21174,13268,14425,35.8,27693,9.9,54976,93.4,1
46095,1452,997,1105,33.5,2102,33,33173,83.5,5
46097,1744,1111,1170,46.7,2281,12.2,46744,90.2,2.8
46099,139978,93060,94258,35,187318,9.9,60244,91.4,2.7
46101,4819,3185,3320,39.3,6505,10.5,55731,91,4.9
46102,8983,7328,7087,25.5,14415,40.7,30086,77.9,13.1
46103,83806,54269,55103,38.6,109372,14.5,51508,92.8,3.2
46105,2357,1500,1483,47.8,2983,12.7,46868,89.2,2.5
46107,1823,1176,1123,51.5,2299,9.8,54227,91.1,0.5
46109,7374,5113,5142,38.4,10255,17.9,43811,87.1,4.5
46111,1826,1142,1254,41.1,2396,11.7,51157,89.8,2
46113,,,,,,,,,
46115,4932,3200,3220,43.3,6420,11,49463,92.3,0.9
46117,2259,1462,1531,41.1,2993,7.9,66006,90.8,1
46119,1106,669,752,45.7,1421,7.2,54593,91.7,0.4
46121,6013,5215,4940,24.4,10155,48.6,29108,79.3,12.1
46123,4237,2756,2736,44.5,5492,17.3,45288,87.5,0.4
46125,6363,4138,4179,43.4,8317,9.2,58802,92.2,1.5
46127,11326,7369,7565,40.7,14934,6.6,74857,91.3,1.8
46129,4296,2838,2772,44.9,5610,14.8,47834,87.8,2.2
46135,17857,10877,11739,41.3,22616,11.8,54665,91.9,1.8
46137,1886,1409,1392,31.3,2801,43.7,30798,85.4,18.8
47001,60097,39031,36905,43.5,75936,14.4,46731,85.5,4.1
47003,35297,24141,23343,37.7,47484,14.7,47295,80.5,3.8
47005,12850,8118,7896,46.9,16014,17.9,35723,81.7,5.4
47007,12287,6101,8574,43.6,14675,23.8,37530,74.6,4.3
47009,102128,66238,62432,43.7,128670,11.4,51233,88.2,3.9
47011,81357,53762,50728,39.5,104490,14.2,45326,83.5,5.6
47013,31408,20277,19437,43.8,39714,24.1,34997,74.4,4.3
47015,11104,7094,6933,43.3,14027,15.5,45097,83.2,5.7
47017,22138,14433,13659,42.6,28092,18.3,40392,79,4.5
47019,45701,28815,27687,44.9,56502,21.5,33382,81.3,3.7
47021,30818,20114,19766,41.2,39880,11.1,58555,85.6,4.2
47023,13636,9081,8372,37.8,17453,16,44567,84,6.3
47025,25626,16220,15537,43,31757,25.4,33437,77.2,4.1
47027,6200,3911,3841,47.1,7752,22,30976,76.3,3.6
47029,28031,18268,16951,45.1,35219,24.2,31965,78.8,5.4
47031,41528,27999,26683,39.9,54682,14.3,47884,85.4,4.1
47033,10956,7493,6918,40.4,14411,17.6,41447,76.5,3.8
47035,48093,29975,28680,50.8,58655,15.3,43504,83.6,4.1
47037,538433,354769,329641,34.3,684410,15.1,54666,87.5,4.3
47039,9258,5958,5811,45.6,11769,18.8,38246,82.3,4.4
47041,15106,9808,9553,42.3,19361,19.8,40869,78,3.7
47043,39981,26586,25584,40,52170,13.5,52144,83.6,3.3
47045,28626,19573,18135,39.7,37708,20,40163,83.2,4.8
47047,31623,20082,19508,45.5,39590,14.5,56724,86.2,4.9
47049,14184,9220,8813,45.3,18033,21.4,32352,77.3,4.1
47051,33163,21368,20332,42.3,41700,15.5,47562,85.3,4.7
47053,37362,25667,23734,40,49401,16.9,38605,84.8,4.6
47055,23136,15099,14208,43.8,29307,16.7,43238,83.3,3.9
47057,18284,11442,11630,44.6,23072,20,39752,80.4,4.3
47059,55117,34878,33737,44.8,68615,17,40855,81.9,4.3
47061,10482,6772,6617,43.3,13389,22.6,32453,74,5.1
47063,48970,32618,31167,40.9,63785,18.5,42047,81.5,4.8
47065,282494,185195,172543,39.6,357738,13.5,48690,87.8,4.3
47067,5213,3321,3256,44,6577,30.9,28228,75.7,5.9
47069,20414,11497,13938,40.2,25435,25.2,36653,77,8.5
47071,20396,13247,12432,45.3,25679,21.5,37039,79.6,6.4
47073,44889,28761,27802,44.7,56563,19.2,38958,82,4.6
47075,13764,9522,8331,41.4,17853,20,35672,80.8,4
47077,21401,14329,13493,40.8,27822,17.4,42821,80.2,5.2
47079,25632,16691,15619,45.6,32310,19.5,38721,84.3,4.2
47081,18945,11673,12622,41,24295,20.7,41406,77.2,4
47083,6368,4154,3980,43.6,8134,17.8,40777,76.9,3.7
47085,14327,9254,9093,43.4,18347,18.4,4.40E+04,83.2,4.2
47087,9434,5791,5775,47.2,11566,21.9,34117,76.6,4.9
47089,42741,27175,26360,43.8,53535,15.7,45490,83.7,4.5
47091,14691,8195,9559,45.5,17754,25.4,33639,76.3,2.7
47093,359341,234563,221569,37.5,456132,14.8,52174,90.6,4
47095,6445,2712,4848,39.4,7560,42.7,30078,73.1,3.8
47097,20696,12755,14018,37.8,26773,24.9,38479,75.5,5.4
47099,32235,21971,21110,39.6,43081,16.7,41370,79.9,4.8
47101,9284,6107,5797,43.5,11904,18.5,38074,82.6,2.6
47103,26176,17192,16453,43.3,33645,16.7,43464,83.3,4.3
47105,41366,26252,25202,47.8,51454,10.6,56774,85.3,3.8
47107,41520,27091,25759,43.1,52850,16.9,40897,83.2,4.5
47109,20211,13163,12772,43.3,25935,22,37574,80.7,7.5
47111,17677,12052,11398,38.9,23450,17.9,34203,75.7,3.9
47113,75343,51472,46191,38.5,97663,19,43037,88.5,4.3
47115,22427,14568,13878,43.5,28446,18.3,42348,78.3,3.5
47117,24415,16243,15672,40.1,31915,13.2,50014,84,5.1
47119,68906,46628,43353,38.8,89981,11.5,51202,88.2,4.4
47121,9472,6017,5988,44.5,12005,18.3,40238,78.9,5.9
47123,35947,23170,22800,43.8,45970,19.3,38265,79.1,5.8
47125,143111,97875,97859,30.7,195734,12.9,55351,92.2,4.7
47127,5081,3160,3163,45.3,6323,10.9,54922,86.1,3.3
47129,17255,9825,11729,41.8,21554,22.7,38069,79.8,3.6
47131,23901,15784,14794,42.9,30578,18.6,37437,82.9,6
47133,17256,11181,10870,43.4,22051,18.7,35273,78.4,3.8
47135,6221,3941,4023,43.8,7964,22.1,35140,75.2,3.3
47137,4189,2581,2561,49.8,5142,17,36595,77.3,3.1
47139,13419,8424,8348,44.8,16772,16.2,41984,79,4.7
47141,59901,38220,37711,36.3,75931,19.2,40479,85.2,4.3
47143,24982,16434,16008,41.1,32442,18.2,42137,75.9,4.6
47145,42743,26996,25878,46.9,52874,14.2,47088,85.8,4.8
47147,52193,35104,34061,38.8,69165,10.3,58487,86.5,4.9
47149,231502,156503,151748,33.6,308251,10.3,61232,90.8,4.3
47151,16572,11097,10850,39.4,21947,22,34196,77.3,7.1
47153,11693,7528,7369,43.8,14897,17.7,43367,81.8,4.8
47155,76400,49212,47461,43.1,96673,15.1,45251,83.5,4
47157,698803,489831,444772,35.4,934603,20.8,47639,87.1,6.1
47159,14915,9775,9672,40.9,19447,14.6,46977,82.7,2.4
47161,10442,6571,6611,44.8,13182,16.4,44605,86.3,4.3
47163,125882,80670,75997,45,156667,16.4,43211,85.7,4.3
47165,136846,91985,88078,39.6,180063,9.7,61134,89.3,3.5
47167,45984,31075,30228,38,61303,16.1,54748,85.7,5.9
47169,6369,4180,4091,39.9,8271,15.3,44971,79.3,4.8
47171,14409,9.00E+03,8719,46.9,17719,17.3,39755,80.9,5.9
47173,14877,9682,9458,42.3,19140,22.2,37955,76.9,4.4
47175,4592,2818,2871,46.7,5689,19.1,38123,80.5,6.2
47177,30880,20496,20020,40.4,40516,19.4,37682,78.6,4.5
47179,102752,65098,62342,40.3,127440,14.8,46316,88.4,3.4
47181,13784,7513,9200,42.8,16713,20.9,37672,78.5,3.9
47183,26954,17184,16323,38,33507,20.8,38214,84.8,5.6
47185,20802,13566,13087,42.9,26653,17.7,39818,82.2,5.3
47187,158559,111997,107110,39.1,219107,5.2,107942,95.6,2.6
47189,100980,67701,65080,40,132781,8.1,70955,89.8,3.5
48001,46484,22439,35295,39.1,57734,20.5,43967,80.2,1.9
48003,12241,8708,9052,31.4,17760,11.7,60644,73.8,3.5
48005,65101,44887,42904,37.1,87791,19,43658,79.9,4.8
48007,20980,12976,12745,49.5,25721,18.8,44866,83.2,3.9
48009,6812,4371,4332,44.1,8703,10.5,58928,90.1,2.1
48011,1437,934,942,44.2,1876,10.8,54868,89.8,1
48013,35342,24581,24216,35.4,48797,16.3,53622,75.3,4.4
48015,22541,15091,14667,41.2,29758,14.3,55973,82.4,3.6
48017,4870,3558,3623,32.7,7181,16.6,40536,67.6,1.3
48019,18135,11019,10757,52.4,21776,14.6,55885,86.8,2.1
48021,61493,40685,42048,38.3,82733,13.2,56449,80.6,5.1
48023,2903,1887,1810,46.4,3697,17.6,36616,86.9,0.7
48025,25620,12985,19765,34.7,32750,27,40753,71.4,2.5
48027,245293,170833,169578,30.9,340411,12.9,51993,90.3,5
48029,1427987,977727,950953,33.5,1928680,16.3,53170,83.4,4.3
48031,9277,5696,5696,49.6,11392,10.7,57634,89.9,3.4
48033,489,310,323,44.2,633,10.6,60306,93.3,0.6
48035,14196,9198,8899,46.7,18097,15.8,47636,82.3,3.4
48037,71546,46697,47163,37.9,93860,19.3,45455,87.5,4.3
48039,259785,174972,179223,35.7,354195,9.9,74510,86.7,3.3
48041,175222,108722,111695,26,220417,24.9,42279,85.6,3.6
48043,7405,4574,4626,42.7,9200,14.9,43055,86.4,4.4
48045,1172,748,726,46.8,1474,15.4,43376,77.5,3.5
48047,5197,3564,3650,35.1,7214,32.2,27703,70.4,6.9
48049,29547,19429,18842,40.6,38271,17.1,43770,85.1,2.2
48051,13717,8934,8826,44,17760,14.4,48533,80.4,3.5
48053,36269,23573,22670,44.5,46243,11.5,55919,86.1,2.6
48055,31391,20389,20772,36.1,41161,16.6,49598,79.1,2.6
48057,16471,10731,11234,37.9,21965,15.7,52916,80.5,3.9
48059,10658,7004,6816,43.2,13820,14.9,45727,88,1.9
48061,290957,217529,204606,31.8,422135,29.1,36587,65.6,5.2
48063,9470,6608,6259,38,12867,19.2,41937,81.2,3.8
48065,4521,3026,3031,39.2,6057,8.6,62573,92.2,1.4
48067,23512,15683,14692,44.2,30375,17.4,40597,85.9,4.8
48069,5422,3767,3902,34.9,7669,18.1,45229,70.5,2.9
48071,28841,19738,20161,35.3,39899,9.2,80279,83.8,3.8
48073,38406,25272,26396,37.8,51668,19.4,39407,79.6,3.2
48075,5592,2901,4151,33.8,7052,21.5,39140,85.3,2.9
48077,8082,5099,5094,46.5,10193,13.3,49171,89.3,3.9
48079,2069,1440,1442,34.7,2882,23.5,39900,70,4.1
